doc_id,title,source,size_bytes
001_Карцан_Современные+кибератаки+классификация+и+способы+защиты+(1),001_Карцан_Современные+кибератаки+классификация+и+способы+защиты+(1).pdf,001_Карцан_Современные+кибератаки+классификация+и+способы+защиты+(1).pdf,443542
14_p130,14_p130.pdf,14_p130.pdf,493447
172-175,172-175.pdf,172-175.pdf,218256
2083.dokl,2083.dokl.pdf,2083.dokl.pdf,230339
978-5-400-01865-7_2025_342_346,978-5-400-01865-7_2025_342_346.pdf,978-5-400-01865-7_2025_342_346.pdf,356546
Cyber,Cyber.pdf,Cyber.pdf,1108422
digital-tech-security_1_112_35445,digital-tech-security_1_112_35445.pdf,digital-tech-security_1_112_35445.pdf,862075
gorev,gorev.pdf,gorev.pdf,190607
HSE CS MC Klimov 14 мая,HSE CS MC Klimov 14 мая.pdf,HSE CS MC Klimov 14 мая.pdf,1150668
Informatsionnaya_bezopasnost_novaya,Informatsionnaya_bezopasnost_novaya.pdf,Informatsionnaya_bezopasnost_novaya.pdf,405162
kiberucheniya,kiberucheniya.pdf,kiberucheniya.pdf,2900168
konspekt-lektsij-po-IB,konspekt-lektsij-po-IB.pdf,konspekt-lektsij-po-IB.pdf,3185851
Makarenko-ib,Makarenko-ib.pdf,Makarenko-ib.pdf,4867401
Metodicheskie-rekomendatsii-po-razrabotke-Plana-reagirovaniya,Metodicheskie-rekomendatsii-po-razrabotke-Plana-reagirovaniya.pdf,Metodicheskie-rekomendatsii-po-razrabotke-Plana-reagirovaniya.pdf,533249
Информационная-безопасность-и-управление-1,Информационная-безопасность-и-управление-1.pdf,Информационная-безопасность-и-управление-1.pdf,297758
Карточки по Кибербезопасности,Карточки по Кибербезопасности.pdf,Карточки по Кибербезопасности.pdf,6148563
Лекция 12. Вредоносные программы и способы защиты от них,Лекция 12. Вредоносные программы и способы защиты от них.pdf,Лекция 12. Вредоносные программы и способы защиты от них.pdf,109894
Михнев,Михнев.pdf,Михнев.pdf,1928765
СТ_лекция14,СТ_лекция14.pdf,СТ_лекция14.pdf,963546
Что такое информационная безопасность,Что такое информационная безопасность.pdf,Что такое информационная безопасность.pdf,241756
README,README.md,README.md,667
